GEO_ID,BachDegrees,TotalPop,CountyName,NormBach
17031090300,400.00,1063.00, Cook County,37.62935089
17031100100,1088.00,4517.00, Cook County,24.08678326
17031100200,1569.00,5318.00, Cook County,29.50357277
17031100300,1125.00,5249.00, Cook County,21.43265384
17031100400,597.00,2459.00, Cook County,24.27816185
17031100500,1095.00,4260.00, Cook County,25.70422535
17031100600,899.00,3655.00, Cook County,24.59644323
17031100700,1100.00,4430.00, Cook County,24.83069977
17031110100,1198.00,4318.00, Cook County,27.74432608
17031110200,539.00,2445.00, Cook County,22.04498978
17031110300,898.00,4004.00, Cook County,22.42757243
17031110400,880.00,3659.00, Cook County,24.05028696
17031110501,1143.00,4126.00, Cook County,27.70237518
17031110502,890.00,2903.00, Cook County,30.65794006
17031120100,1174.00,3471.00, Cook County,33.82310573
17031120200,1051.00,3581.00, Cook County,29.34934376
17031120300,1741.00,5029.00, Cook County,34.61920859
17031120400,744.00,2910.00, Cook County,25.56701031
17031130100,1193.00,3994.00, Cook County,29.86980471
17031130200,310.00,1327.00, Cook County,23.36096458
17031130300,1262.00,4301.00, Cook County,29.34201349
17031140100,861.00,2428.00, Cook County,35.46128501
17031140200,1192.00,5414.00, Cook County,22.01699298
17031140301,358.00,2210.00, Cook County,16.19909502
17031140302,572.00,3090.00, Cook County,18.51132686
17031140400,1444.00,4453.00, Cook County,32.42757691
17031140500,894.00,2982.00, Cook County,29.97987928
17031140601,420.00,2175.00, Cook County,19.31034483
17031140602,818.00,3740.00, Cook County,21.87165775
17031140701,519.00,2437.00, Cook County,21.29667624
17031140702,1013.00,4549.00, Cook County,22.26863047
17031140800,2214.00,4864.00, Cook County,45.51809211
17031150200,2135.00,6425.00, Cook County,33.22957198
17031150300,1342.00,6213.00, Cook County,21.59987124
17031150401,956.00,3732.00, Cook County,25.61629153
17031150402,597.00,2737.00, Cook County,21.81220314
17031150501,873.00,3203.00, Cook County,27.25569778
17031150502,672.00,2911.00, Cook County,23.08485057
17031150600,618.00,3444.00, Cook County,17.94425087
17031150700,610.00,2961.00, Cook County,20.60114826
17031150800,607.00,4083.00, Cook County,14.86651972
17031151001,405.00,2028.00, Cook County,19.9704142
17031151002,688.00,3888.00, Cook County,17.69547325
17031151100,652.00,4057.00, Cook County,16.07098842
17031151200,618.00,3272.00, Cook County,18.88753056
17031160100,489.00,1911.00, Cook County,25.58869702
17031160200,631.00,2339.00, Cook County,26.97734074
17031160300,1004.00,3070.00, Cook County,32.70358306
17031160400,1057.00,3858.00, Cook County,27.39761534
17031160501,765.00,2803.00, Cook County,27.29218694
17031160502,630.00,2939.00, Cook County,21.43586254
17031160601,826.00,2436.00, Cook County,33.90804598
17031160602,818.00,2953.00, Cook County,27.70064341
17031160700,1205.00,5113.00, Cook County,23.56737727
17031160800,884.00,4378.00, Cook County,20.19186843
17031160900,737.00,2117.00, Cook County,34.81341521
17031161000,662.00,1659.00, Cook County,39.90355636
17031161100,588.00,1489.00, Cook County,39.48959033
17031161200,482.00,2358.00, Cook County,20.44105174
17031161300,481.00,2861.00, Cook County,16.81230339
17031170100,186.00,1936.00, Cook County,9.607438017
17031170200,532.00,3006.00, Cook County,17.69793746
17031170300,747.00,4345.00, Cook County,17.19217491
17031170400,687.00,3367.00, Cook County,20.4039204
17031170500,933.00,4292.00, Cook County,21.73811743
17031170600,421.00,1893.00, Cook County,22.23983096
17031170700,437.00,2600.00, Cook County,16.80769231
17031170800,410.00,3271.00, Cook County,12.53439315
17031170900,255.00,1582.00, Cook County,16.11883692
17031171000,758.00,5633.00, Cook County,13.45641754
17031171100,566.00,3169.00, Cook County,17.86052382
17031180100,572.00,5048.00, Cook County,11.33122029
17031190100,192.00,1900.00, Cook County,10.10526316
17031190200,665.00,4493.00, Cook County,14.80080125
17031190300,620.00,4552.00, Cook County,13.62038664
17031190401,379.00,3434.00, Cook County,11.0366919
17031190402,540.00,3998.00, Cook County,13.50675338
17031190601,237.00,3671.00, Cook County,6.456006538
17031190602,553.00,4036.00, Cook County,13.70168484
17031190701,186.00,2030.00, Cook County,9.162561576
17031190702,188.00,3443.00, Cook County,5.460354342
17031190800,399.00,5176.00, Cook County,7.708655332
17031190900,106.00,1563.00, Cook County,6.781829814
17031191000,162.00,2104.00, Cook County,7.699619772
17031191100,260.00,4120.00, Cook County,6.310679612
17031191200,72.00,2745.00, Cook County,2.62295082
17031191301,131.00,4191.00, Cook County,3.125745645
17031191302,209.00,3698.00, Cook County,5.651703624
17031200100,561.00,2776.00, Cook County,20.20893372
17031200200,420.00,4035.00, Cook County,10.40892193
17031200300,319.00,1624.00, Cook County,19.64285714
17031200401,167.00,2366.00, Cook County,7.058326289
17031200402,559.00,3462.00, Cook County,16.14673599
17031210100,1106.00,3504.00, Cook County,31.56392694
17031210400,275.00,1649.00, Cook County,16.6767738
17031210501,465.00,2553.00, Cook County,18.21386604
17031210502,626.00,3473.00, Cook County,18.02476245
17031210601,825.00,2682.00, Cook County,30.7606264
17031210602,861.00,3264.00, Cook County,26.37867647
17031210700,846.00,3105.00, Cook County,27.24637681
17031210800,233.00,954.00, Cook County,24.42348008
17031210900,973.00,2575.00, Cook County,37.78640777
17031220300,791.00,1783.00, Cook County,44.36343242
17031220400,1172.00,2313.00, Cook County,50.67012538
17031220500,1186.00,2289.00, Cook County,51.81301879
17031220601,447.00,1263.00, Cook County,35.39192399
17031220602,1457.00,4097.00, Cook County,35.56260679
17031220701,642.00,2604.00, Cook County,24.65437788
17031220702,981.00,3293.00, Cook County,29.79046462
17031220901,435.00,2256.00, Cook County,19.28191489
17031220902,411.00,2159.00, Cook County,19.03659101
